book_id,original_title,authors,genre,original_publication_year,image_url
1,The Hunger Games,Suzanne Collins,fiction|fantasy|romance|thriller|ebooks|suspense|contemporary,2008.0,https://images.gr-assets.com/books/1447303603m/2767052.jpg
2,Harry Potter and the Philosopher's Stone,J.K. Rowling,fantasy|fiction|classics|paranormal|mystery|contemporary,1997.0,https://images.gr-assets.com/books/1474154022m/3.jpg
3,Twilight,Stephenie Meyer,fantasy|fiction|paranormal|contemporary|horror,2005.0,https://images.gr-assets.com/books/1361039443m/41865.jpg
4,To Kill a Mockingbird,Harper Lee,classics|fiction|history|crime|contemporary|mystery,1960.0,https://images.gr-assets.com/books/1361975680m/2657.jpg
5,The Great Gatsby,F. Scott Fitzgerald,classics|fiction|romance|ebooks,1925.0,https://images.gr-assets.com/books/1490528560m/4671.jpg
6,The Fault in Our Stars,John Green,fiction|romance|contemporary|ebooks,2012.0,https://images.gr-assets.com/books/1360206420m/11870085.jpg
7,The Hobbit or There and Back Again,J.R.R. Tolkien,fantasy|classics|fiction|ebooks,1937.0,https://images.gr-assets.com/books/1372847500m/5907.jpg
8,The Catcher in the Rye,J.D. Salinger,classics|fiction|contemporary,1951.0,https://images.gr-assets.com/books/1398034300m/5107.jpg
9,Angels & Demons ,Dan Brown,fiction|mystery|thriller|suspense|crime|contemporary|religion|fantasy|history|ebooks|classics|romance|art,2000.0,https://images.gr-assets.com/books/1303390735m/960.jpg
10,Pride and Prejudice,Jane Austen,classics|fiction|romance|ebooks|history,1813.0,https://images.gr-assets.com/books/1320399351m/1885.jpg
11,The Kite Runner ,Khaled Hosseini,fiction|contemporary|classics|history|ebooks,2003.0,https://images.gr-assets.com/books/1484565687m/77203.jpg
12,Divergent,Veronica Roth,fiction|fantasy|romance|ebooks|thriller,2011.0,https://images.gr-assets.com/books/1328559506m/13335037.jpg
13,Nineteen Eighty-Four,George Orwell,fiction|fantasy|philosophy|ebooks|horror,1949.0,https://images.gr-assets.com/books/1348990566m/5470.jpg
14,Animal Farm: A Fairy Story,George Orwell,classics|fiction|fantasy|philosophy|history|ebooks,1945.0,https://images.gr-assets.com/books/1424037542m/7613.jpg
15,Het Achterhuis: Dagboekbrieven 14 juni 1942 - 1 augustus 1944,Anne Frank,classics|history|biography|nonfiction|memoir|fiction,1947.0,https://images.gr-assets.com/books/1358276407m/48855.jpg
