user_id,book_id,rating
1.0,258,5
2.0,4081,4
2.0,260,5
2.0,9296,5
2.0,2318,3
2.0,26,4
2.0,315,3
2.0,33,4
2.0,301,5
2.0,2686,5
2.0,3753,5
2.0,8519,5
4.0,70,4
4.0,264,3
4.0,388,4
4.0,18,5
4.0,27,5
4.0,21,5
4.0,2,5
4.0,23,5
4.0,24,5
4.0,964,4
4.0,103,5
4.0,255,2
4.0,35,5
4.0,287,3
4.0,337,4
4.0,26,3
4.0,84,4
4.0,58,4
4.0,1117,3
4.0,660,3
4.0,111,2
4.0,5,4
4.0,413,4
4.0,8,4
4.0,2172,4
4.0,65,4
4.0,297,4
4.0,45,4
4.0,113,4
4.0,325,5
4.0,476,3
6.0,6351,4
8.0,2732,5
8.0,1432,3
8.0,479,4
8.0,3020,5
8.0,6195,4
8.0,614,4
8.0,4622,5
8.0,9114,5
8.0,194,4
8.0,14,5
8.0,2584,5
8.0,55,5
8.0,772,4
8.0,778,5
8.0,1937,3
8.0,493,5
8.0,362,5
8.0,1967,3
8.0,529,5
8.0,5425,5
4.0,1237,5
4.0,145,2
4.0,36,5
4.0,102,5
4.0,222,4
4.0,200,4
4.0,13,4
4.0,640,3
4.0,693,5
4.0,575,3
4.0,55,4
1.0,268,3
1.0,5556,3
1.0,3638,3
1.0,1796,5
1.0,867,3
1.0,47,3
1.0,2738,3
4.0,1296,3
4.0,50,4
4.0,87,5
4.0,86,4
4.0,123,4
4.0,32,4
4.0,28,3
4.0,33,3
4.0,42,5
4.0,249,4
4.0,158,4
4.0,373,4
4.0,184,4
4.0,495,4
4.0,350,3
4.0,492,4
4.0,219,4
4.0,288,4
4.0,11,4
4.0,245,5
4.0,301,4
4.0,1057,3
4.0,596,3
4.0,782,3
4.0,426,3
9.0,397,3
9.0,658,4
9.0,101,5
9.0,344,4
9.0,372,4
9.0,943,5
9.0,1923,4
9.0,122,4
9.0,212,5
9.0,1642,4
9.0,317,4
9.0,33,3
9.0,26,2
9.0,9,1
9.0,81,1
9.0,60,5
9.0,494,2
9.0,238,3
9.0,14,4
9.0,570,5
9.0,795,4
9.0,2193,2
9.0,11,1
9.0,3417,5
9.0,4139,5
9.0,1055,4
9.0,181,5
9.0,5,5
9.0,119,4
9.0,4815,5
9.0,1221,3
9.0,1301,2
9.0,1986,2
9.0,1057,2
9.0,1037,2
9.0,963,2
9.0,596,2
9.0,1388,2
9.0,7868,2
9.0,1407,2
9.0,227,2
9.0,213,2
9.0,587,4
9.0,664,4
9.0,476,2
9.0,325,2
9.0,407,5
9.0,1311,2
9.0,10,5
9.0,76,4
9.0,171,4
11.0,111,2
11.0,11,4
11.0,94,5
11.0,2559,5
11.0,522,3
11.0,258,3
11.0,408,3
11.0,516,4
11.0,6944,3
11.0,426,4
11.0,495,3
11.0,574,3
11.0,8,5
11.0,26,3
11.0,33,4
11.0,3560,5
11.0,233,5
11.0,325,4
11.0,3703,3
11.0,2079,4
11.0,1853,3
11.0,9606,3
11.0,7277,4
11.0,115,4
8.0,177,5
11.0,47,4
15.0,8,5
15.0,2,4
15.0,5,4
15.0,101,5
15.0,4,3
15.0,24,4
15.0,11,5
15.0,27,4
15.0,18,4
15.0,21,3
15.0,65,5
15.0,13,4
15.0,33,5
15.0,26,3
15.0,2903,4
15.0,230,4
15.0,10,5
15.0,76,5
15.0,471,4
15.0,483,5
15.0,2339,5
15.0,709,5
15.0,167,5
15.0,361,3
15.0,326,5
15.0,87,5
15.0,304,5
15.0,100,4
15.0,306,5
